orrd7.6,215,48,31
orrd7.7,153,0,0
orrd8.1,255,247,236
orrd8.2,254,232,200
orrd8.3,253,212,158
orrd8.4,253,187,132
orrd8.5,252,141,89
orrd8.6,239,101,72
orrd8.7,215,48,31
orrd8.8,153,0,0
orrd9.1,255,247,236
orrd9.2,254,232,200
orrd9.3,253,212,158
orrd9.4,253,187,132
orrd9.5,252,141,89
orrd9.6,239,101,72
orrd9.7,215,48,31
orrd9.8,179,0,0
orrd9.9,127,0,0
paired10.1,166,206,227
paired10.2,31,120,180
paired10.3,178,223,138
paired10.4,51,160,44
paired10.5,251,154,153
paired10.6,227,26,28
paired10.7,253,191,111
paired10.8,255,127,0
paired10.9,202,178,214
paired10.10,106,61,154
paired11.1,166,206,227
paired11.2,31,120,180
paired11.3,178,223,138
paired11.4,51,160,44
paired11.5,251,154,153
paired11.6,227,26,28
paired11.7,253,191,111
paired11.8,255,127,0
paired11.9,202,178,214
paired11.10,106,61,154
paired11.11,255,255,153
paired12.1,166,206,227
paired12.2,31,120,180
paired12.3,178,223,138
paired12.4,51,160,44
paired12.5,251,154,153
paired12.6,227,26,28
paired12.7,253,191,111
paired12.8,255,127,0
paired12.9,202,178,214
paired12.10,106,61,154
paired12.11,255,255,153
paired12.12,177,89,40
paired3.1,166,206,227
paired3.2,31,120,180
paired3.3,178,223,138
paired4.1,166,206,227
paired4.2,31,120,180
paired4.3,178,223,138
paired4.4,51,160,44
paired5.1,166,206,227
paired5.2,31,120,180
paired5.3,178,223,138
paired5.4,51,160,44
paired5.5,251,154,153
paired6.1,166,206,227
paired6.2,31,120,180
paired6.3,178,223,138
paired6.4,51,160,44
paired6.5,251,154,153
paired6.6,227,26,28
paired7.1,166,206,227
paired7.2,31,120,180
paired7.3,178,223,138
paired7.4,51,160,44
paired7.5,251,154,153
paired7.6,227,26,28
paired7.7,253,191,111
paired8.1,166,206,227
paired8.2,31,120,180
paired8.3,178,223,138
paired8.4,51,160,44
paired8.5,251,154,153
paired8.6,227,26,28
paired8.7,253,191,111
paired8.8,255,127,0
paired9.1,166,206,227
paired9.2,31,120,180
paired9.3,178,223,138
paired9.4,51,160,44
paired9.5,251,154,153
paired9.6,227,26,28
paired9.7,253,191,111
paired9.8,255,127,0
paired9.9,202,178,214
pastel13.1,251,180,174
pastel13.2,179,205,227
pastel13.3,204,235,197
pastel14.1,251,180,174
pastel14.2,179,205,227
pastel14.3,204,235,197
pastel14.4,222,203,228
pastel15.1,251,180,174
pastel15.2,179,205,227
pastel15.3,204,235,197
pastel15.4,222,203,228
pastel15.5,254,217,166
pastel16.1,251,180,174
pastel16.2,179,205,227
pastel16.3,204,235,197
pastel16.4,222,203,228
pastel16.5,254,217,166
pastel16.6,255,255,204
pastel17.1,251,180,174
pastel17.2,179,205,227
pastel17.3,204,235,197
pastel17.4,222,203,228
pastel17.5,254,217,166
pastel17.6,255,255,204
pastel17.7,229,216,189
pastel18.1,251,180,174
pastel18.2,179,205,227
pastel18.3,204,235,197
pastel18.4,222,203,228
pastel18.5,254,217,166
pastel18.6,255,255,204
pastel18.7,229,216,189
pastel18.8,253,218,236
pastel19.1,251,180,174
pastel19.2,179,205,227
pastel19.3,204,235,197
pastel19.4,222,203,228
pastel19.5,254,217,166
pastel19.6,255,255,204
pastel19.7,229,216,189
pastel19.8,253,218,236
pastel19.9,242,242,242
pastel23.1,179,226,205
pastel23.2,253,205,172
pastel23.3,203,213,232
pastel24.1,179,226,205
pastel24.2,253,205,172
pastel24.3,203,213,232
pastel24.4,244,202,228
pastel25.1,179,226,205
pastel25.2,253,205,172
pastel25.3,203,213,232
pastel25.4,244,202,228
pastel25.5,230,245,201
pastel26.1,179,226,205
pastel26.2,253,205,172
pastel26.3,203,213,232
pastel26.4,244,202,228
pastel26.5,230,245,201
pastel26.6,255,242,174
pastel27.1,179,226,205
pastel27.2,253,205,172
pastel27.3,203,213,232
pastel27.4,244,202,228
pastel27.5,230,245,201
pastel27.6,255,242,174
pastel27.7,241,226,204
pastel28.1,179,226,205
pastel28.2,253,205,172
pastel28.3,203,213,232
pastel28.4,244,202,228
pastel28.5,230,245,201
pastel28.6,255,242,174
pastel28.7,241,226,204
pastel28.8,204,204,204
piyg10.1,142,1,82
piyg10.2,197,27,125
piyg10.3,222,119,174
piyg10.4,241,182,218
piyg10.5,253,224,239
piyg10.6,230,245,208
piyg10.7,184,225,134
piyg10.8,127,188,65
piyg10.9,77,146,33
piyg10.10,39,100,25
piyg11.1,142,1,82
piyg11.2,197,27,125
piyg11.3,222,119,174
piyg11.4,241,182,218
piyg11.5,253,224,239
piyg11.6,247,247,247
piyg11.7,230,245,208
piyg11.8,184,225,134
piyg11.9,127,188,65
piyg11.10,77,146,33
piyg11.11,39,100,25
piyg3.1,233,163,201
piyg3.2,247,247,247
piyg3.3,161,215,106
piyg4.1,208,28,139
piyg4.2,241,182,218
piyg4.3,184,225,134
piyg4.4,77,172,38
piyg5.1,208,28,139
piyg5.2,241,182,218
piyg5.3,247,247,247
piyg5.4,184,225,134
piyg5.5,77,172,38
piyg6.1,197,27,125
piyg6.2,233,163,201
piyg6.3,253,224,239
piyg6.4,230,245,208
piyg6.5,161,215,106
piyg6.6,77,146,33
piyg7.1,197,27,125
piyg7.2,233,163,201
piyg7.3,253,224,239
piyg7.4,247,247,247
piyg7.5,230,245,208
piyg7.6,161,215,106
piyg7.7,77,146,33
piyg8.1,197,27,125
piyg8.2,222,119,174
piyg8.3,241,182,218
piyg8.4,253,224,239
piyg8.5,230,245,208
piyg8.6,184,225,134
piyg8.7,127,188,65
piyg8.8,77,146,33
piyg9.1,197,27,125
piyg9.2,222,119,174
piyg9.3,241,182,218
piyg9.4,253,224,239
piyg9.5,247,247,247
piyg9.6,230,245,208
piyg9.7,184,225,134
piyg9.8,127,188,65
piyg9.9,77,146,33
prgn10.1,64,0,75
prgn10.2,118,42,131
prgn10.3,153,112,171
prgn10.4,194,165,207
prgn10.5,231,212,232
prgn10.6,217,240,211
prgn10.7,166,219,160
prgn10.8,90,174,97
prgn10.9,27,120,55
prgn10.10,0,68,27
prgn11.1,64,0,75
prgn11.2,118,42,131
prgn11.3,153,112,171
prgn11.4,194,165,207
prgn11.5,231,212,232
prgn11.6,247,247,247
prgn11.7,217,240,211
prgn11.8,166,219,160
prgn11.9,90,174,97
prgn11.10,27,120,55
prgn11.11,0,68,27
prgn3.1,175,141,195
prgn3.2,247,247,247
prgn3.3,127,191,123
prgn4.1,123,50,148
prgn4.2,194,165,207
prgn4.3,166,219,160
prgn4.4,0,136,55
prgn5.1,123,50,148
prgn5.2,194,165,207
prgn5.3,247,247,247
prgn5.4,166,219,160
prgn5.5,0,136,55
prgn6.1,118,42,131
